sep=;
Circuito;Macchina;Pilota;Meteo;Gomme;Giro;Qualita_giro;Tipo_assetto;Ala_anteriore;Ala_posteriore;Consumo_gomme;Consumo_carb;lap_time;Stint
Bahrain;Ferrari;Paolo;Sereno;M;1;pessimo;medio carico;5;6;94.5;1.88;01:31.7;1
Bahrain;Ferrari;Paolo;Sereno;M;2;ottimo;medio carico;5;6;92.9;1.88;01:31.3;1
Bahrain;Ferrari;Paolo;Sereno;M;3;pessimo;medio carico;5;6;90.3;1.88;01:31.8;1
Bahrain;Ferrari;Paolo;Sereno;M;4;discreto;medio carico;5;6;87.7;1.88;01:31.8;1
Bahrain;Ferrari;Paolo;Sereno;M;5;buono;medio carico;5;6;85.8;1.88;01:31.6;1
Bahrain;Ferrari;Paolo;Sereno;M;1;discreto;medio carico;5;6;94.4;1.96;01:31.4;2
Bahrain;Ferrari;Paolo;Sereno;M;2;buono;medio carico;5;6;92.8;1.96;01:31.4;2
Bahrain;Ferrari;Paolo;Sereno;M;3;buono;medio carico;5;6;90.2;1.96;01:31.4;2
Bahrain;Ferrari;Paolo;Sereno;M;4;pessimo;medio carico;5;6;87.8;1.96;01:31.7;2
Bahrain;Ferrari;Paolo;Sereno;M;5;ottimo;medio carico;5;6;86;1.96;01:31.3;2
Bahrain;Ferrari;Paolo;Sereno;S;1;discreto;medio carico;5;6;92.1;1.95;01:30.6;1
Bahrain;Ferrari;Paolo;Sereno;S;2;ottimo;medio carico;5;6;89;1.95;01:30.3;1
Bahrain;Ferrari;Paolo;Sereno;S;3;discreto;medio carico;5;6;84.8;1.95;01:30.7;1
Bahrain;Ferrari;Paolo;Sereno;S;4;buono;medio carico;5;6;81.8;1.95;01:30.6;1
Bahrain;Ferrari;Paolo;Sereno;S;5;buono;medio carico;5;6;78;1.95;01:30.7;1
Bahrain;Ferrari;Paolo;Sereno;H;1;buono;medio carico;5;6;95.2;1.96;01:31.7;1
Bahrain;Ferrari;Paolo;Sereno;H;2;buono;medio carico;5;6;93.8;1.96;01:31.6;1
Bahrain;Ferrari;Paolo;Sereno;H;3;discreto;medio carico;5;6;92.6;1.96;01:31.9;1
Bahrain;Ferrari;Paolo;Sereno;H;4;pessimo;medio carico;5;6;90.6;1.96;01:32.2;1
Bahrain;Ferrari;Paolo;Sereno;H;5;ottimo;medio carico;5;6;89;1.96;01:31.6;1
Bahrain;Ferrari;Paolo;Sereno;S;1;buono;medio carico;5;6;91.8;1.95;01:30.5;2
Bahrain;Ferrari;Paolo;Sereno;S;2;discreto;medio carico;5;6;88.9;1.95;01:30.8;2
Bahrain;Ferrari;Paolo;Sereno;S;3;buono;medio carico;5;6;85.3;1.95;01:30.7;2
Bahrain;Ferrari;Paolo;Sereno;S;4;ottimo;medio carico;5;6;81.8;1.95;01:30.6;2
Bahrain;Ferrari;Paolo;Sereno;S;5;pessimo;medio carico;5;6;78.4;1.95;01:31.2;2
Bahrain;Ferrari;Paolo;Sereno;M;1;discreto;medio carico;5;6;94.9;1.96;01:31.5;3
Bahrain;Ferrari;Paolo;Sereno;M;2;buono;medio carico;5;6;92.5;1.96;01:31.3;3
Bahrain;Ferrari;Paolo;Sereno;M;3;discreto;medio carico;5;6;90.4;1.96;01:31.6;3
Bahrain;Ferrari;Paolo;Sereno;M;4;discreto;medio carico;5;6;88;1.96;01:31.6;3
Bahrain;Ferrari;Paolo;Sereno;M;5;buono;medio carico;5;6;86.3;1.96;01:31.5;3
Bahrain;Ferrari;Paolo;Sereno;H;1;pessimo;medio carico;5;6;96.1;1.96;01:32.1;2
Bahrain;Ferrari;Paolo;Sereno;H;2;discreto;medio carico;5;6;93.8;1.96;01:31.9;2
Bahrain;Ferrari;Paolo;Sereno;H;3;discreto;medio carico;5;6;92;1.96;01:31.9;2
Bahrain;Ferrari;Paolo;Sereno;H;4;discreto;medio carico;5;6;90.3;1.96;01:31.9;2
Bahrain;Ferrari;Paolo;Sereno;H;5;buono;medio carico;5;6;88.9;1.96;01:31.8;2
